# iteration  loss_bc  loss_res  l2_error
4.800000e+03 2.376566e+01 2.817560e+06 2.535285e+00
4.900000e+03 2.094288e+01 2.883374e+06 2.659012e+00
5.000000e+03 1.497102e+01 2.800500e+06 2.491524e+00
5.100000e+03 2.850559e+01 2.842880e+06 2.793396e+00
5.200000e+03 1.820641e+01 2.815939e+06 2.666743e+00
5.300000e+03 2.227501e+01 2.888620e+06 2.804072e+00
5.400000e+03 2.301711e+01 3.108158e+06 2.686834e+00
5.500000e+03 1.967822e+01 3.038010e+06 2.624176e+00
5.600000e+03 2.019998e+01 3.252772e+06 2.414885e+00
5.700000e+03 1.706078e+01 2.715178e+06 2.615881e+00
5.800000e+03 1.883435e+01 2.829308e+06 2.876835e+00
5.900000e+03 1.164824e+01 2.860833e+06 2.735653e+00
6.000000e+03 1.215431e+01 2.852761e+06 2.593278e+00
6.100000e+03 1.379848e+01 3.125211e+06 2.747409e+00
6.200000e+03 2.006476e+01 3.090309e+06 2.712937e+00
6.300000e+03 1.775819e+01 2.797266e+06 2.536470e+00
6.400000e+03 1.747386e+01 2.773968e+06 2.382274e+00
6.500000e+03 1.694158e+01 2.669910e+06 2.661297e+00
6.600000e+03 1.920332e+01 2.849743e+06 2.882919e+00
6.700000e+03 1.595998e+01 2.873142e+06 2.628830e+00
6.800000e+03 1.723956e+01 2.708706e+06 2.271265e+00
6.900000e+03 1.359381e+01 2.780910e+06 2.277195e+00
7.000000e+03 1.512100e+01 2.824326e+06 2.376591e+00
7.100000e+03 1.739637e+01 3.094954e+06 2.305381e+00
7.200000e+03 1.453089e+01 3.033688e+06 2.204331e+00
7.300000e+03 1.706137e+01 2.796468e+06 2.486097e+00
7.400000e+03 1.549654e+01 2.474822e+06 2.300729e+00
7.500000e+03 1.914090e+01 2.667770e+06 2.419858e+00
7.600000e+03 2.321961e+01 2.761847e+06 2.490597e+00
7.700000e+03 2.308110e+01 3.089340e+06 2.286966e+00
7.800000e+03 2.425248e+01 2.809220e+06 2.451389e+00
7.900000e+03 2.852007e+01 2.568970e+06 2.763874e+00
8.000000e+03 2.604591e+01 2.881495e+06 2.809380e+00
8.100000e+03 2.012541e+01 2.927821e+06 2.540528e+00
8.200000e+03 1.996927e+01 2.763884e+06 2.366775e+00
8.300000e+03 2.005004e+01 2.575210e+06 2.291657e+00
8.400000e+03 2.050216e+01 2.982323e+06 2.130036e+00
8.500000e+03 2.219522e+01 2.919995e+06 2.180762e+00
8.600000e+03 2.123594e+01 2.915946e+06 2.340197e+00
8.700000e+03 2.487669e+01 2.498144e+06 2.458521e+00
8.800000e+03 1.845781e+01 2.689227e+06 2.379538e+00
8.900000e+03 1.734237e+01 2.582049e+06 2.276950e+00
9.000000e+03 1.433828e+01 2.569237e+06 2.024836e+00
9.100000e+03 1.159596e+01 2.651550e+06 1.841794e+00
9.200000e+03 8.205369e+00 2.673514e+06 1.753665e+00
9.300000e+03 1.550268e+01 2.663500e+06 2.109539e+00
9.400000e+03 1.187193e+01 2.928943e+06 2.142180e+00
9.500000e+03 8.813935e+00 2.427350e+06 1.969416e+00
9.600000e+03 8.621710e+00 2.729830e+06 1.941856e+00
9.700000e+03 1.057214e+01 2.617701e+06 2.026052e+00
9.800000e+03 9.104530e+00 2.587850e+06 1.943918e+00
