# iteration  loss_bc  loss_res  l2_error
2.850000e+04 4.053968e-01 2.146431e+00 3.671971e-01
2.860000e+04 4.043643e-01 5.048357e+00 3.668940e-01
2.870000e+04 4.037282e-01 3.405716e+00 3.663801e-01
2.880000e+04 4.042627e-01 3.547018e+00 3.663011e-01
2.890000e+04 4.032646e-01 5.460074e+00 3.658396e-01
2.900000e+04 4.023166e-01 2.063851e+00 3.656131e-01
2.910000e+04 4.008265e-01 6.637799e+00 3.654865e-01
2.920000e+04 4.001012e-01 5.583415e+00 3.651478e-01
2.930000e+04 4.001269e-01 3.532687e+00 3.648240e-01
2.940000e+04 3.997391e-01 2.169886e+00 3.643913e-01
2.950000e+04 3.980845e-01 2.981794e+00 3.640437e-01
2.960000e+04 3.986155e-01 4.175802e+00 3.637224e-01
2.970000e+04 3.981850e-01 2.128245e+00 3.633280e-01
2.980000e+04 3.968153e-01 2.222976e+00 3.629748e-01
2.990000e+04 3.967111e-01 2.495254e+00 3.627712e-01
3.000000e+04 3.971674e-01 2.721429e+00 3.623565e-01
3.010000e+04 3.957581e-01 2.441664e+00 3.622478e-01
3.020000e+04 3.941803e-01 1.435894e+00 3.619199e-01
3.030000e+04 3.921787e-01 3.415251e+00 3.616724e-01
3.040000e+04 3.929275e-01 3.287650e+00 3.612050e-01
3.050000e+04 3.937016e-01 6.005430e+00 3.607374e-01
3.060000e+04 3.915367e-01 6.087099e+00 3.608033e-01
3.070000e+04 3.910906e-01 3.766729e+00 3.603196e-01
3.080000e+04 3.912202e-01 9.756297e-01 3.601848e-01
3.090000e+04 3.892474e-01 1.606407e+00 3.597150e-01
3.100000e+04 3.910167e-01 3.030114e+00 3.596055e-01
3.110000e+04 3.887722e-01 2.892024e+00 3.591052e-01
3.120000e+04 3.876615e-01 4.562190e+00 3.587721e-01
3.130000e+04 3.874740e-01 4.253816e+00 3.586624e-01
3.140000e+04 3.865545e-01 1.201414e+00 3.584237e-01
3.150000e+04 3.858243e-01 1.326124e+00 3.580139e-01
3.160000e+04 3.858916e-01 2.568760e+00 3.577215e-01
3.170000e+04 3.850826e-01 5.318619e+00 3.572491e-01
3.180000e+04 3.848354e-01 3.816797e+00 3.573477e-01
3.190000e+04 3.846296e-01 1.970548e+00 3.570238e-01
3.200000e+04 3.831286e-01 1.647410e+00 3.568004e-01
3.210000e+04 3.822306e-01 3.409505e+00 3.565524e-01
3.220000e+04 3.808449e-01 1.923883e+00 3.561153e-01
3.230000e+04 3.808792e-01 2.059999e+00 3.559221e-01
3.240000e+04 3.804954e-01 1.998101e+00 3.557145e-01
3.250000e+04 3.797973e-01 2.733582e+00 3.553444e-01
