# iteration  loss_bc  loss_res  l2_error
3.200000e+04 8.761449e-07 1.855047e+00 1.641939e-03
3.210000e+04 6.223087e-07 1.454560e+00 1.272896e-03
3.220000e+04 9.491680e-07 1.427546e+00 7.598424e-04
3.230000e+04 9.253740e-07 1.173523e+00 2.389692e-03
3.240000e+04 1.369412e-05 1.832289e+00 6.137778e-03
3.250000e+04 2.944557e-06 2.066676e+00 1.147836e-03
3.260000e+04 1.619602e-06 1.368479e+00 1.623031e-03
3.270000e+04 3.466898e-06 1.179293e+00 4.549982e-03
3.280000e+04 1.307573e-06 1.176943e+00 1.470146e-03
3.290000e+04 3.484884e-06 9.755190e-01 1.920037e-03
3.300000e+04 3.897043e-06 2.149375e+00 2.222681e-03
3.310000e+04 6.999298e-07 1.140030e+00 1.258300e-03
3.320000e+04 3.575647e-06 3.254483e+00 3.039472e-03
3.330000e+04 2.564516e-06 1.656977e+00 1.709145e-03
3.340000e+04 3.078061e-06 1.031466e+00 8.952081e-04
3.350000e+04 1.400860e-06 1.453484e+00 1.998019e-03
3.360000e+04 1.182443e-07 1.678780e+00 1.072854e-03
3.370000e+04 1.794395e-08 9.592241e-01 2.214773e-03
3.380000e+04 4.211462e-06 1.384124e+00 1.294044e-03
3.390000e+04 1.076204e-06 1.110722e+00 1.742056e-03
3.400000e+04 1.273186e-07 1.471858e+00 5.345471e-04
3.410000e+04 1.281662e-06 1.878701e+00 9.477411e-04
3.420000e+04 6.996700e-07 1.179776e+00 2.543971e-03
3.430000e+04 6.582433e-07 1.105623e+00 1.037181e-03
3.440000e+04 6.354959e-07 9.052855e-01 7.940538e-04
3.450000e+04 1.056854e-06 1.372909e+00 1.284077e-03
3.460000e+04 1.152064e-06 1.247692e+00 1.081619e-03
3.470000e+04 2.520731e-07 1.019100e+00 1.775996e-03
3.480000e+04 1.079736e-06 9.039149e-01 4.155029e-03
3.490000e+04 1.271433e-06 7.157589e-01 1.935224e-03
3.500000e+04 8.343055e-07 8.773447e-01 9.960619e-04
3.510000e+04 1.341631e-06 1.120651e+00 1.706696e-03
3.520000e+04 7.259499e-07 1.000762e+00 2.059175e-03
3.530000e+04 2.736739e-07 8.761305e-01 2.653929e-03
3.540000e+04 6.097892e-07 8.824195e-01 1.416532e-03
3.550000e+04 2.335421e-07 9.860387e-01 1.965719e-03
3.560000e+04 2.313277e-07 5.407343e-01 6.821068e-04
3.570000e+04 3.191804e-07 1.059646e+00 1.470571e-03
3.580000e+04 5.049436e-07 1.926605e+00 1.442990e-03
3.590000e+04 1.514883e-06 8.813105e-01 1.129382e-03
3.600000e+04 2.625035e-06 9.918964e-01 2.763098e-03
3.610000e+04 3.912610e-07 8.446245e-01 1.731584e-03
3.620000e+04 2.413481e-08 7.919154e-01 1.190268e-03
3.630000e+04 4.227815e-07 1.251160e+00 2.490560e-03
3.640000e+04 6.125784e-07 6.979755e-01 3.099331e-03
3.650000e+04 1.822819e-07 8.154399e-01 8.796779e-04
3.660000e+04 2.112179e-07 7.225362e-01 7.450040e-04
3.670000e+04 3.069385e-07 1.152392e+00 1.817879e-03
3.680000e+04 1.491695e-06 2.057060e+00 1.964827e-03
3.690000e+04 7.851158e-07 1.065182e+00 2.714220e-03
3.700000e+04 9.976263e-07 9.442382e-01 7.113094e-04
3.710000e+04 7.808781e-07 7.291366e-01 1.736507e-03
3.720000e+04 6.158605e-07 6.309305e-01 1.171239e-03
3.730000e+04 7.622655e-07 6.537983e-01 7.889730e-04
3.740000e+04 1.078718e-06 7.631840e-01 1.133891e-03
3.750000e+04 2.677935e-06 6.745830e-01 1.049702e-03
3.760000e+04 2.374682e-06 7.128558e-01 1.553059e-03
3.770000e+04 1.269632e-07 7.176093e-01 1.131128e-03
3.780000e+04 5.363346e-07 6.389853e-01 1.420857e-03
3.790000e+04 8.726057e-08 9.129542e-01 2.252089e-03
3.800000e+04 4.081070e-07 9.417461e-01 1.476820e-03
3.810000e+04 1.620299e-07 5.815517e-01 5.265416e-04
3.820000e+04 6.331392e-07 4.847138e-01 8.992980e-04
3.830000e+04 5.150024e-07 7.343873e-01 1.573634e-03
3.840000e+04 7.898564e-07 8.518187e-01 6.706030e-04
3.850000e+04 2.242225e-07 6.799534e-01 1.571308e-03
3.860000e+04 7.554122e-08 5.375929e-01 1.719997e-03
3.870000e+04 3.692882e-07 6.980672e-01 1.244223e-03
3.880000e+04 1.589873e-07 5.460824e-01 6.694623e-04
3.890000e+04 1.523642e-07 7.690449e-01 1.652254e-03
3.900000e+04 6.509891e-07 6.617858e-01 1.162568e-03
3.910000e+04 3.249507e-07 6.781111e-01 6.427495e-04
3.920000e+04 6.755478e-08 6.408508e-01 5.552943e-04
3.930000e+04 6.250000e-07 7.689222e-01 1.818231e-03
3.940000e+04 1.675997e-07 5.847656e-01 8.415057e-04
3.950000e+04 8.617050e-07 5.319229e-01 1.677493e-03
3.960000e+04 2.081926e-08 6.552828e-01 8.753899e-04
3.970000e+04 5.263126e-07 7.256964e-01 2.472671e-03
3.980000e+04 5.374098e-07 6.011775e-01 5.322293e-04
3.990000e+04 5.079715e-07 5.340188e-01 7.517348e-04
