# iteration  l2_NN  l2_FF  l2_mFF
1.630000e+04 2.645396e+00 4.000155e-01 1.090217e-02
1.640000e+04 2.517936e+00 4.007813e-01 9.307208e-03
1.650000e+04 2.521719e+00 4.001203e-01 6.536260e-03
1.660000e+04 2.258702e+00 3.995636e-01 2.075456e-02
1.670000e+04 2.028071e+00 3.996072e-01 1.234000e-02
1.680000e+04 1.908024e+00 3.998910e-01 4.193116e-03
1.690000e+04 1.949091e+00 3.998669e-01 3.362465e-03
1.700000e+04 1.925763e+00 3.998016e-01 3.829857e-03
1.710000e+04 1.755386e+00 3.993585e-01 7.298848e-03
1.720000e+04 1.760193e+00 3.988419e-01 1.547427e-02
1.730000e+04 1.642466e+00 3.983776e-01 5.940677e-03
1.740000e+04 1.663115e+00 3.978226e-01 4.492087e-03
1.750000e+04 1.512676e+00 3.984997e-01 8.877315e-03
1.760000e+04 1.296157e+00 3.984121e-01 7.055181e-03
1.770000e+04 1.300776e+00 3.976053e-01 7.565397e-03
1.780000e+04 1.356626e+00 3.973074e-01 1.321489e-02
1.790000e+04 1.247630e+00 3.975518e-01 9.208683e-03
1.800000e+04 1.189985e+00 3.968140e-01 1.769302e-03
1.810000e+04 1.046927e+00 3.965737e-01 4.350110e-03
1.820000e+04 1.091187e+00 3.966489e-01 1.493082e-02
1.830000e+04 1.139739e+00 3.964236e-01 1.810038e-02
1.840000e+04 1.078880e+00 3.960253e-01 3.888810e-03
1.850000e+04 1.135273e+00 3.958820e-01 3.729627e-03
1.860000e+04 1.197519e+00 3.953053e-01 2.022253e-03
1.870000e+04 1.220865e+00 3.946513e-01 3.964180e-03
1.880000e+04 1.115003e+00 3.952054e-01 3.487428e-03
1.890000e+04 1.118284e+00 3.950496e-01 1.215722e-02
1.900000e+04 1.123002e+00 3.944506e-01 7.614356e-03
1.910000e+04 1.091322e+00 3.943818e-01 7.425563e-03
1.920000e+04 1.182488e+00 3.935736e-01 1.189926e-02
1.930000e+04 1.121700e+00 3.934967e-01 3.743143e-03
1.940000e+04 1.128029e+00 3.934194e-01 3.986103e-03
1.950000e+04 1.161070e+00 3.935981e-01 7.544063e-03
1.960000e+04 1.216980e+00 3.932039e-01 1.877100e-02
1.970000e+04 1.233466e+00 3.931426e-01 2.778390e-03
1.980000e+04 1.294050e+00 3.928257e-01 6.242301e-03
1.990000e+04 1.259283e+00 3.920048e-01 5.797515e-03
2.000000e+04 1.202642e+00 3.919107e-01 6.409677e-03
2.010000e+04 1.209768e+00 3.914869e-01 5.321359e-03
2.020000e+04 1.333110e+00 3.910834e-01 7.858843e-03
2.030000e+04 1.363214e+00 3.921640e-01 2.393378e-03
2.040000e+04 1.397985e+00 3.909853e-01 3.464367e-03
2.050000e+04 1.434963e+00 3.904645e-01 2.724387e-03
2.060000e+04 1.516262e+00 3.903857e-01 1.775991e-03
2.070000e+04 1.478745e+00 3.900822e-01 9.582919e-03
2.080000e+04 1.443879e+00 3.901340e-01 6.831502e-03
2.090000e+04 1.500329e+00 3.895105e-01 4.808632e-03
2.100000e+04 1.617741e+00 3.895420e-01 7.465856e-03
2.110000e+04 1.582957e+00 3.896632e-01 6.021943e-03
2.120000e+04 1.663298e+00 3.886826e-01 9.788089e-03
2.130000e+04 1.720243e+00 3.880560e-01 4.529640e-03
2.140000e+04 1.726276e+00 3.880495e-01 3.034079e-03
2.150000e+04 1.767948e+00 3.878223e-01 3.384026e-03
2.160000e+04 1.799333e+00 3.870412e-01 2.537584e-03
2.170000e+04 1.890979e+00 3.871730e-01 4.135069e-03
2.180000e+04 1.839589e+00 3.871163e-01 3.842150e-03
2.190000e+04 1.761003e+00 3.868626e-01 4.598732e-03
2.200000e+04 1.772036e+00 3.862144e-01 4.564417e-03
