# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
9.00000000e+03	1.51380157e+00	1.32015514e+00	3.35943140e-03	3.39084771e-04	2.67455466e-02	5.76735077e+01	2.60403595e+02
9.10000000e+03	8.70134711e-01	6.65945590e-01	3.70813371e-03	2.16547065e-04	2.72942334e-02	3.73511810e+01	2.55983124e+02
9.20000000e+03	1.06038570e+00	8.07059646e-01	5.26175648e-03	2.13802326e-04	2.54766960e-02	3.47479897e+01	2.91108307e+02
9.30000000e+03	1.17722213e+00	8.42466176e-01	6.29228819e-03	2.32382343e-04	2.77135037e-02	4.06302986e+01	2.43357315e+02
9.40000000e+03	4.25724983e+00	3.75822639e+00	6.46248460e-03	4.96533758e-04	3.54907215e-02	4.88944397e+01	2.87577728e+02
9.50000000e+03	2.26890659e+00	2.05011106e+00	2.46010930e-03	3.51882481e-04	3.07258125e-02	4.29517174e+01	3.20539581e+02
9.60000000e+03	1.42404020e+00	1.03789222e+00	6.02569478e-03	2.47142219e-04	2.48355605e-02	5.09472580e+01	3.12866028e+02
9.70000000e+03	6.31616533e-01	4.29907858e-01	2.80048861e-03	1.33683978e-04	2.55431235e-02	5.34226761e+01	2.57963867e+02
9.80000000e+03	1.09324360e+00	9.31023657e-01	3.78747610e-03	1.11874455e-04	2.40306444e-02	3.41468353e+01	2.40315460e+02
9.90000000e+03	8.33616257e-01	7.50361919e-01	1.90371962e-03	1.31339097e-04	2.39393059e-02	2.88788033e+01	1.83371124e+02
1.00000000e+04	2.32800126e+00	1.50476456e+00	1.40102860e-02	1.37468480e-04	1.99559256e-02	5.25541458e+01	3.00394897e+02
1.01000000e+04	5.88043332e-01	4.28513706e-01	3.49062402e-03	1.23753212e-04	2.57298313e-02	3.66605568e+01	2.38179810e+02
1.02000000e+04	1.02789950e+00	9.06102479e-01	2.16454803e-03	1.10281304e-04	2.10306067e-02	4.35918159e+01	2.97669708e+02
1.03000000e+04	9.07633722e-01	7.81099796e-01	2.02721125e-03	9.60551406e-05	2.89062113e-02	4.59165878e+01	2.61015167e+02
1.04000000e+04	2.05502629e+00	1.90681136e+00	3.98534629e-03	1.07782776e-04	3.18929739e-02	2.81145020e+01	2.48087646e+02
1.05000000e+04	2.01209688e+00	1.84481609e+00	1.93596899e-03	1.26782339e-04	3.17239463e-02	7.00188751e+01	4.13327759e+02
1.06000000e+04	5.00046134e-01	3.68987978e-01	1.38270983e-03	1.27441250e-04	1.88922752e-02	6.15077667e+01	2.90453003e+02
1.07000000e+04	1.73107493e+00	1.61377072e+00	2.24088109e-03	1.20148179e-04	2.15647295e-02	4.51536140e+01	2.78490570e+02
1.08000000e+04	6.94891214e-01	5.32391310e-01	4.01507784e-03	1.03753431e-04	2.38196924e-02	3.29273109e+01	2.16647476e+02
1.09000000e+04	1.46354747e+00	1.28752613e+00	4.95875673e-03	1.05897234e-04	2.23908797e-02	4.10876083e+01	2.28965775e+02
1.10000000e+04	7.90948510e-01	5.86534500e-01	6.88473647e-03	6.31861767e-05	2.24784520e-02	3.05705566e+01	2.66601135e+02
1.11000000e+04	1.00605297e+00	8.03576112e-01	4.94800182e-03	1.67379534e-04	2.64424421e-02	3.44810104e+01	2.93263336e+02
1.12000000e+04	6.42911792e-01	4.26094115e-01	4.02074913e-03	1.24943865e-04	3.21170166e-02	4.13534508e+01	3.03649597e+02
1.13000000e+04	2.91817427e+00	2.00872254e+00	2.40726061e-02	2.69244076e-04	2.22735498e-02	3.29252129e+01	2.43925354e+02
1.14000000e+04	7.48357117e-01	6.00255132e-01	2.73899990e-03	8.91165546e-05	1.99983679e-02	3.91093788e+01	3.11150818e+02
