# iteration  lambda_u  lambda_ut  lambda_r
1.720000e+04 9.204231e+05 5.927105e+05 1.000003e+00
1.730000e+04 8.680954e+05 5.499142e+05 1.000003e+00
1.740000e+04 9.176008e+05 5.330759e+05 1.000003e+00
1.750000e+04 8.960504e+05 5.337462e+05 1.000003e+00
1.760000e+04 9.097937e+05 5.767093e+05 1.000003e+00
1.770000e+04 8.970733e+05 5.503971e+05 1.000003e+00
1.780000e+04 9.697779e+05 6.560384e+05 1.000003e+00
1.790000e+04 9.208528e+05 6.203477e+05 1.000003e+00
1.800000e+04 9.196998e+05 6.485506e+05 1.000003e+00
1.810000e+04 9.646947e+05 6.201642e+05 1.000003e+00
1.820000e+04 9.210953e+05 6.270833e+05 1.000003e+00
1.830000e+04 9.356656e+05 5.698973e+05 1.000003e+00
1.840000e+04 9.148062e+05 6.539385e+05 1.000003e+00
1.850000e+04 9.460853e+05 6.473126e+05 1.000003e+00
1.860000e+04 9.456801e+05 6.326697e+05 1.000003e+00
1.870000e+04 9.058913e+05 6.189884e+05 1.000003e+00
1.880000e+04 9.436274e+05 5.966661e+05 1.000003e+00
1.890000e+04 9.161822e+05 5.951008e+05 1.000003e+00
1.900000e+04 9.632314e+05 6.473674e+05 1.000003e+00
1.910000e+04 8.882962e+05 6.096062e+05 1.000003e+00
1.920000e+04 9.216675e+05 5.973430e+05 1.000003e+00
1.930000e+04 9.435495e+05 6.667671e+05 1.000003e+00
1.940000e+04 9.369689e+05 6.542848e+05 1.000003e+00
1.950000e+04 9.442699e+05 6.050909e+05 1.000003e+00
1.960000e+04 9.128287e+05 5.068396e+05 1.000003e+00
1.970000e+04 9.146305e+05 6.151922e+05 1.000003e+00
1.980000e+04 9.375743e+05 6.689752e+05 1.000003e+00
1.990000e+04 9.101994e+05 6.616059e+05 1.000003e+00
2.000000e+04 9.082610e+05 6.543458e+05 1.000003e+00
2.010000e+04 9.093791e+05 6.665032e+05 1.000003e+00
2.020000e+04 9.378258e+05 5.845296e+05 1.000003e+00
2.030000e+04 9.320263e+05 6.129099e+05 1.000003e+00
2.040000e+04 9.547619e+05 6.254170e+05 1.000003e+00
2.050000e+04 9.353423e+05 6.512460e+05 1.000003e+00
2.060000e+04 8.869175e+05 5.426322e+05 1.000003e+00
2.070000e+04 9.387802e+05 5.659002e+05 1.000003e+00
2.080000e+04 8.700468e+05 5.472950e+05 1.000003e+00
2.090000e+04 9.346680e+05 6.265651e+05 1.000003e+00
2.100000e+04 8.961053e+05 5.866652e+05 1.000003e+00
2.110000e+04 8.943354e+05 5.506244e+05 1.000003e+00
2.120000e+04 9.060816e+05 6.270531e+05 1.000003e+00
2.130000e+04 9.333199e+05 6.396653e+05 1.000003e+00
2.140000e+04 9.123136e+05 5.769496e+05 1.000003e+00
2.150000e+04 9.318891e+05 5.853962e+05 1.000003e+00
2.160000e+04 9.318653e+05 6.032870e+05 1.000003e+00
2.170000e+04 9.418060e+05 6.535334e+05 1.000003e+00
2.180000e+04 9.468258e+05 5.735455e+05 1.000003e+00
2.190000e+04 9.128413e+05 5.965166e+05 1.000003e+00
2.200000e+04 8.810546e+05 5.465401e+05 1.000003e+00
2.210000e+04 9.437442e+05 5.399609e+05 1.000003e+00
2.220000e+04 9.366622e+05 5.430229e+05 1.000003e+00
2.230000e+04 8.850160e+05 5.480714e+05 1.000003e+00
2.240000e+04 9.320452e+05 6.453641e+05 1.000003e+00
2.250000e+04 9.198020e+05 6.553575e+05 1.000003e+00
2.260000e+04 9.072387e+05 5.697150e+05 1.000003e+00
2.270000e+04 8.890854e+05 5.913107e+05 1.000003e+00
2.280000e+04 8.976729e+05 6.048911e+05 1.000003e+00
2.290000e+04 9.072628e+05 6.382451e+05 1.000003e+00
2.300000e+04 8.833370e+05 5.117904e+05 1.000003e+00
2.310000e+04 8.823004e+05 6.149526e+05 1.000003e+00
2.320000e+04 9.004131e+05 6.663304e+05 1.000003e+00
2.330000e+04 9.474434e+05 5.889364e+05 1.000003e+00
2.340000e+04 9.467320e+05 5.959789e+05 1.000003e+00
2.350000e+04 8.754030e+05 6.186352e+05 1.000003e+00
2.360000e+04 9.174476e+05 6.102213e+05 1.000003e+00
2.370000e+04 8.844734e+05 5.575633e+05 1.000003e+00
2.380000e+04 9.492982e+05 5.979449e+05 1.000003e+00
2.390000e+04 9.078060e+05 5.576885e+05 1.000003e+00
2.400000e+04 9.172421e+05 6.740294e+05 1.000003e+00
2.410000e+04 9.125328e+05 5.762312e+05 1.000003e+00
2.420000e+04 8.818081e+05 6.098667e+05 1.000003e+00
2.430000e+04 9.242363e+05 6.115342e+05 1.000003e+00
2.440000e+04 9.250854e+05 6.155349e+05 1.000003e+00
2.450000e+04 8.738100e+05 5.951269e+05 1.000003e+00
2.460000e+04 9.455929e+05 6.095036e+05 1.000003e+00
2.470000e+04 9.024823e+05 6.063282e+05 1.000003e+00
2.480000e+04 9.709797e+05 6.044055e+05 1.000003e+00
2.490000e+04 9.449118e+05 5.744419e+05 1.000003e+00
2.500000e+04 9.235063e+05 5.837126e+05 1.000003e+00
2.510000e+04 9.539863e+05 5.785737e+05 1.000003e+00
2.520000e+04 9.180172e+05 5.569052e+05 1.000003e+00
2.530000e+04 9.651734e+05 6.331605e+05 1.000003e+00
2.540000e+04 8.681446e+05 5.140473e+05 1.000003e+00
2.550000e+04 8.957748e+05 5.627228e+05 1.000003e+00
2.560000e+04 9.576853e+05 5.636091e+05 1.000003e+00
2.570000e+04 9.385654e+05 6.192927e+05 1.000003e+00
2.580000e+04 9.264483e+05 5.603371e+05 1.000003e+00
2.590000e+04 9.060160e+05 5.525474e+05 1.000003e+00
2.600000e+04 9.309212e+05 5.901572e+05 1.000003e+00
2.610000e+04 9.284349e+05 6.175587e+05 1.000003e+00
2.620000e+04 8.894110e+05 6.064676e+05 1.000003e+00
2.630000e+04 8.720692e+05 5.187880e+05 1.000003e+00
2.640000e+04 9.235737e+05 5.483122e+05 1.000003e+00
2.650000e+04 9.481722e+05 5.795576e+05 1.000003e+00
2.660000e+04 9.297524e+05 6.241772e+05 1.000003e+00
2.670000e+04 9.088670e+05 6.074597e+05 1.000003e+00
2.680000e+04 9.167306e+05 5.339449e+05 1.000003e+00
2.690000e+04 9.344436e+05 6.178656e+05 1.000003e+00
2.700000e+04 9.308276e+05 5.733834e+05 1.000003e+00
2.710000e+04 9.500760e+05 6.394799e+05 1.000003e+00
2.720000e+04 8.957367e+05 5.580126e+05 1.000003e+00
2.730000e+04 8.614469e+05 5.761827e+05 1.000003e+00
2.740000e+04 9.192096e+05 5.615251e+05 1.000003e+00
2.750000e+04 9.188837e+05 5.705885e+05 1.000003e+00
2.760000e+04 9.421922e+05 5.913159e+05 1.000003e+00
2.770000e+04 9.099699e+05 6.070735e+05 1.000003e+00
2.780000e+04 9.093094e+05 5.708805e+05 1.000003e+00
2.790000e+04 9.374888e+05 6.004241e+05 1.000003e+00
2.800000e+04 9.041881e+05 5.836648e+05 1.000003e+00
2.810000e+04 8.568004e+05 5.398496e+05 1.000003e+00
2.820000e+04 9.436260e+05 6.061371e+05 1.000003e+00
2.830000e+04 8.940225e+05 5.905414e+05 1.000003e+00
2.840000e+04 8.912543e+05 6.181229e+05 1.000003e+00
2.850000e+04 9.115218e+05 5.615817e+05 1.000003e+00
2.860000e+04 9.317288e+05 6.223642e+05 1.000003e+00
2.870000e+04 9.436313e+05 6.160122e+05 1.000003e+00
2.880000e+04 9.185511e+05 5.751082e+05 1.000003e+00
2.890000e+04 8.917419e+05 5.813594e+05 1.000003e+00
2.900000e+04 9.584815e+05 6.366808e+05 1.000003e+00
