# iteration  lambda_u  lambda_ut  lambda_r
1.690000e+04 4.263771e+08 2.050280e+07 1.000000e+00
1.700000e+04 4.362809e+08 2.137952e+07 1.000000e+00
1.710000e+04 4.215873e+08 2.125513e+07 1.000000e+00
1.720000e+04 4.266233e+08 2.134997e+07 1.000000e+00
1.730000e+04 4.269607e+08 2.043075e+07 1.000000e+00
1.740000e+04 4.265500e+08 2.161375e+07 1.000000e+00
1.750000e+04 4.139619e+08 2.014375e+07 1.000000e+00
1.760000e+04 4.321410e+08 2.114642e+07 1.000000e+00
1.770000e+04 4.269207e+08 2.070666e+07 1.000000e+00
1.780000e+04 4.343475e+08 2.154437e+07 1.000000e+00
1.790000e+04 4.206376e+08 2.061874e+07 1.000000e+00
1.800000e+04 4.019761e+08 2.000071e+07 1.000000e+00
1.810000e+04 4.187488e+08 2.070222e+07 1.000000e+00
1.820000e+04 4.124813e+08 1.981259e+07 1.000000e+00
1.830000e+04 4.086149e+08 1.978359e+07 1.000000e+00
1.840000e+04 4.245433e+08 2.153139e+07 1.000000e+00
1.850000e+04 4.080212e+08 2.031536e+07 1.000000e+00
1.860000e+04 4.005692e+08 1.983372e+07 1.000000e+00
1.870000e+04 4.007397e+08 2.015185e+07 1.000000e+00
1.880000e+04 4.046098e+08 2.002109e+07 1.000000e+00
1.890000e+04 4.086939e+08 1.963905e+07 1.000000e+00
1.900000e+04 4.098306e+08 2.070549e+07 1.000000e+00
1.910000e+04 4.141624e+08 2.046447e+07 1.000000e+00
1.920000e+04 4.088407e+08 2.026472e+07 1.000000e+00
1.930000e+04 3.962941e+08 2.011808e+07 1.000000e+00
1.940000e+04 4.013253e+08 1.950482e+07 1.000000e+00
1.950000e+04 4.027202e+08 1.958414e+07 1.000000e+00
1.960000e+04 3.987717e+08 1.824729e+07 1.000000e+00
1.970000e+04 4.005670e+08 1.917821e+07 1.000000e+00
1.980000e+04 3.976092e+08 1.958819e+07 1.000000e+00
1.990000e+04 4.038259e+08 2.022548e+07 1.000000e+00
2.000000e+04 4.041166e+08 1.940766e+07 1.000000e+00
2.010000e+04 3.934764e+08 1.946640e+07 1.000000e+00
2.020000e+04 3.935335e+08 1.864235e+07 1.000000e+00
2.030000e+04 4.019064e+08 1.854133e+07 1.000000e+00
2.040000e+04 4.065938e+08 1.961324e+07 1.000000e+00
2.050000e+04 3.954883e+08 1.948106e+07 1.000000e+00
2.060000e+04 3.978856e+08 1.896880e+07 1.000000e+00
2.070000e+04 3.958566e+08 1.819336e+07 1.000000e+00
2.080000e+04 3.921727e+08 1.822550e+07 1.000000e+00
2.090000e+04 3.975716e+08 1.822383e+07 1.000000e+00
2.100000e+04 4.028577e+08 1.958539e+07 1.000000e+00
2.110000e+04 4.086566e+08 1.884197e+07 1.000000e+00
2.120000e+04 3.957696e+08 1.931242e+07 1.000000e+00
2.130000e+04 3.988268e+08 1.915807e+07 1.000000e+00
2.140000e+04 3.968362e+08 1.830896e+07 1.000000e+00
2.150000e+04 3.824308e+08 1.766515e+07 1.000000e+00
2.160000e+04 3.870147e+08 1.826003e+07 1.000000e+00
2.170000e+04 3.793556e+08 1.733215e+07 1.000000e+00
2.180000e+04 4.049977e+08 1.854816e+07 1.000000e+00
2.190000e+04 3.892056e+08 1.844309e+07 1.000000e+00
2.200000e+04 3.959947e+08 1.855413e+07 1.000000e+00
2.210000e+04 3.780011e+08 1.667335e+07 1.000000e+00
2.220000e+04 3.965199e+08 1.777248e+07 1.000000e+00
2.230000e+04 3.915890e+08 1.821607e+07 1.000000e+00
2.240000e+04 3.768399e+08 1.786770e+07 1.000000e+00
2.250000e+04 3.935861e+08 1.819678e+07 1.000000e+00
2.260000e+04 3.897128e+08 1.806372e+07 1.000000e+00
2.270000e+04 3.910815e+08 1.862983e+07 1.000000e+00
2.280000e+04 3.835808e+08 1.811947e+07 1.000000e+00
2.290000e+04 3.853191e+08 1.801804e+07 1.000000e+00
2.300000e+04 3.771330e+08 1.691236e+07 1.000000e+00
2.310000e+04 3.848452e+08 1.835340e+07 1.000000e+00
2.320000e+04 4.004098e+08 1.937632e+07 1.000000e+00
2.330000e+04 3.806433e+08 1.691993e+07 1.000000e+00
2.340000e+04 3.881004e+08 1.771970e+07 1.000000e+00
2.350000e+04 3.869471e+08 1.812133e+07 1.000000e+00
2.360000e+04 3.925203e+08 1.807330e+07 1.000000e+00
2.370000e+04 3.893567e+08 1.750902e+07 1.000000e+00
2.380000e+04 3.788318e+08 1.634782e+07 1.000000e+00
2.390000e+04 3.953402e+08 1.741625e+07 1.000000e+00
2.400000e+04 3.778480e+08 1.847489e+07 1.000000e+00
2.410000e+04 3.894133e+08 1.764943e+07 1.000000e+00
2.420000e+04 3.833589e+08 1.770533e+07 1.000000e+00
2.430000e+04 3.846953e+08 1.821711e+07 1.000000e+00
2.440000e+04 3.807590e+08 1.793488e+07 1.000000e+00
2.450000e+04 3.907116e+08 1.865826e+07 1.000000e+00
2.460000e+04 3.643883e+08 1.608545e+07 1.000000e+00
2.470000e+04 3.741698e+08 1.745529e+07 1.000000e+00
2.480000e+04 3.859614e+08 1.694078e+07 1.000000e+00
2.490000e+04 3.689047e+08 1.612065e+07 1.000000e+00
2.500000e+04 3.746379e+08 1.660864e+07 1.000000e+00
2.510000e+04 3.817029e+08 1.658004e+07 1.000000e+00
2.520000e+04 3.765704e+08 1.634553e+07 1.000000e+00
2.530000e+04 3.750023e+08 1.714057e+07 1.000000e+00
2.540000e+04 3.702892e+08 1.583056e+07 1.000000e+00
2.550000e+04 3.755863e+08 1.691664e+07 1.000000e+00
2.560000e+04 3.802873e+08 1.630731e+07 1.000000e+00
2.570000e+04 3.863268e+08 1.742518e+07 1.000000e+00
2.580000e+04 3.791927e+08 1.682003e+07 1.000000e+00
2.590000e+04 3.875957e+08 1.674583e+07 1.000000e+00
2.600000e+04 3.703750e+08 1.616217e+07 1.000000e+00
2.610000e+04 3.721521e+08 1.642051e+07 1.000000e+00
2.620000e+04 3.746552e+08 1.693349e+07 1.000000e+00
2.630000e+04 3.814765e+08 1.590916e+07 1.000000e+00
2.640000e+04 3.658705e+08 1.563558e+07 1.000000e+00
2.650000e+04 3.708555e+08 1.675971e+07 1.000000e+00
2.660000e+04 3.658331e+08 1.610176e+07 1.000000e+00
2.670000e+04 3.697816e+08 1.645683e+07 1.000000e+00
2.680000e+04 3.655792e+08 1.491735e+07 1.000000e+00
2.690000e+04 3.893518e+08 1.702627e+07 1.000000e+00
2.700000e+04 3.718171e+08 1.624569e+07 1.000000e+00
2.710000e+04 3.787386e+08 1.656857e+07 1.000000e+00
2.720000e+04 3.696965e+08 1.617310e+07 1.000000e+00
2.730000e+04 3.734009e+08 1.672923e+07 1.000000e+00
2.740000e+04 3.765539e+08 1.614265e+07 1.000000e+00
2.750000e+04 3.790564e+08 1.589734e+07 1.000000e+00
2.760000e+04 3.829936e+08 1.662535e+07 1.000000e+00
2.770000e+04 3.823908e+08 1.684954e+07 1.000000e+00
2.780000e+04 3.714005e+08 1.616151e+07 1.000000e+00
2.790000e+04 3.777620e+08 1.573887e+07 1.000000e+00
2.800000e+04 3.845409e+08 1.634662e+07 1.000000e+00
2.810000e+04 3.691016e+08 1.575610e+07 1.000000e+00
2.820000e+04 3.700487e+08 1.577681e+07 1.000000e+00
2.830000e+04 3.810859e+08 1.638380e+07 1.000000e+00
2.840000e+04 3.722789e+08 1.688229e+07 1.000000e+00
2.850000e+04 3.785833e+08 1.644413e+07 1.000000e+00
2.860000e+04 3.664707e+08 1.634427e+07 1.000000e+00
2.870000e+04 3.715899e+08 1.567338e+07 1.000000e+00
2.880000e+04 3.635862e+08 1.573193e+07 1.000000e+00
2.890000e+04 3.787547e+08 1.607809e+07 1.000000e+00
2.900000e+04 3.774158e+08 1.589941e+07 1.000000e+00
2.910000e+04 3.685084e+08 1.537200e+07 1.000000e+00
2.920000e+04 3.774346e+08 1.585577e+07 1.000000e+00
2.930000e+04 3.822250e+08 1.673321e+07 1.000000e+00
2.940000e+04 3.794223e+08 1.606577e+07 1.000000e+00
2.950000e+04 3.742183e+08 1.559323e+07 1.000000e+00
2.960000e+04 3.703821e+08 1.580889e+07 1.000000e+00
2.970000e+04 3.711291e+08 1.527720e+07 1.000000e+00
2.980000e+04 3.729265e+08 1.553182e+07 1.000000e+00
2.990000e+04 3.825599e+08 1.650304e+07 1.000000e+00
3.000000e+04 3.747127e+08 1.612257e+07 1.000000e+00
3.010000e+04 3.725803e+08 1.571811e+07 1.000000e+00
3.020000e+04 3.598258e+08 1.419291e+07 1.000000e+00
3.030000e+04 3.716928e+08 1.559814e+07 1.000000e+00
3.040000e+04 3.711340e+08 1.546048e+07 1.000000e+00
3.050000e+04 3.648838e+08 1.488862e+07 1.000000e+00
3.060000e+04 3.737861e+08 1.532517e+07 1.000000e+00
3.070000e+04 3.726610e+08 1.573841e+07 1.000000e+00
3.080000e+04 3.746952e+08 1.580670e+07 1.000000e+00
3.090000e+04 3.761130e+08 1.547369e+07 1.000000e+00
3.100000e+04 3.733372e+08 1.498146e+07 1.000000e+00
3.110000e+04 3.614451e+08 1.468161e+07 1.000000e+00
3.120000e+04 3.735198e+08 1.553479e+07 1.000000e+00
3.130000e+04 3.629193e+08 1.531363e+07 1.000000e+00
3.140000e+04 3.660142e+08 1.492097e+07 1.000000e+00
3.150000e+04 3.689583e+08 1.438545e+07 1.000000e+00
3.160000e+04 3.773560e+08 1.539716e+07 1.000000e+00
3.170000e+04 3.810235e+08 1.591006e+07 1.000000e+00
3.180000e+04 3.751449e+08 1.548316e+07 1.000000e+00
3.190000e+04 3.769097e+08 1.572733e+07 1.000000e+00
3.200000e+04 3.714711e+08 1.528168e+07 1.000000e+00
3.210000e+04 3.690502e+08 1.494613e+07 1.000000e+00
3.220000e+04 3.653119e+08 1.522538e+07 1.000000e+00
3.230000e+04 3.692096e+08 1.578881e+07 1.000000e+00
3.240000e+04 3.748949e+08 1.472761e+07 1.000000e+00
3.250000e+04 3.679178e+08 1.438126e+07 1.000000e+00
3.260000e+04 3.813487e+08 1.550430e+07 1.000000e+00
3.270000e+04 3.658680e+08 1.482613e+07 1.000000e+00
3.280000e+04 3.679833e+08 1.549287e+07 1.000000e+00
3.290000e+04 3.588304e+08 1.510422e+07 1.000000e+00
3.300000e+04 3.840825e+08 1.577266e+07 1.000000e+00
3.310000e+04 3.630665e+08 1.492361e+07 1.000000e+00
3.320000e+04 3.738145e+08 1.514102e+07 1.000000e+00
3.330000e+04 3.690679e+08 1.633532e+07 1.000000e+00
3.340000e+04 3.688351e+08 1.560886e+07 1.000000e+00
3.350000e+04 3.687041e+08 1.520643e+07 1.000000e+00
