# iteration  lambda_u  lambda_ut  lambda_r
2.780000e+04 1.228216e+05 6.373817e+01 1.015948e+00
2.790000e+04 1.374980e+05 7.316244e+01 1.013865e+00
2.800000e+04 1.261745e+05 6.776808e+01 1.014985e+00
2.810000e+04 1.667760e+05 8.774173e+01 1.011535e+00
2.820000e+04 1.345077e+05 7.196456e+01 1.014099e+00
2.830000e+04 1.339023e+05 7.349431e+01 1.013802e+00
2.840000e+04 1.269891e+05 7.474771e+01 1.013568e+00
2.850000e+04 1.457621e+05 7.521406e+01 1.013482e+00
2.860000e+04 1.718649e+05 9.611038e+01 1.010520e+00
2.870000e+04 1.381501e+05 7.219764e+01 1.014053e+00
2.880000e+04 1.469109e+05 7.472839e+01 1.013570e+00
2.890000e+04 1.540681e+05 8.374256e+01 1.012092e+00
2.900000e+04 2.188276e+05 1.192999e+02 1.008458e+00
2.910000e+04 1.327970e+05 6.417260e+01 1.015837e+00
2.920000e+04 1.397526e+05 6.725756e+01 1.015100e+00
2.930000e+04 1.134367e+05 6.918799e+01 1.014674e+00
2.940000e+04 1.290725e+05 6.567409e+01 1.015470e+00
2.950000e+04 1.178767e+05 6.164498e+01 1.016498e+00
2.960000e+04 1.539976e+05 7.873165e+01 1.012871e+00
2.970000e+04 2.048415e+05 1.046461e+02 1.009653e+00
2.980000e+04 1.408635e+05 7.717203e+01 1.013135e+00
2.990000e+04 1.820705e+05 1.017294e+02 1.009933e+00
3.000000e+04 2.028335e+05 1.062494e+02 1.009506e+00
3.010000e+04 1.492336e+05 7.806530e+01 1.012983e+00
3.020000e+04 1.630424e+05 7.841056e+01 1.012924e+00
3.030000e+04 1.204383e+05 6.559552e+01 1.015490e+00
3.040000e+04 1.290239e+05 6.459920e+01 1.015731e+00
3.050000e+04 1.423605e+05 7.340123e+01 1.013819e+00
3.060000e+04 1.930668e+05 1.033835e+02 1.009772e+00
3.070000e+04 1.516248e+05 7.750961e+01 1.013077e+00
3.080000e+04 1.758442e+05 1.036926e+02 1.009744e+00
3.090000e+04 1.287727e+05 6.579925e+01 1.015440e+00
3.100000e+04 1.326191e+05 6.844254e+01 1.014835e+00
3.110000e+04 2.025490e+05 1.027885e+02 1.009829e+00
3.120000e+04 1.339031e+05 6.871343e+01 1.014776e+00
3.130000e+04 2.145787e+05 1.145422e+02 1.008812e+00
3.140000e+04 1.132418e+05 5.835025e+01 1.017446e+00
3.150000e+04 1.320542e+05 5.754941e+01 1.017691e+00
3.160000e+04 1.222207e+05 6.547481e+01 1.015518e+00
3.170000e+04 1.358528e+05 7.075659e+01 1.014343e+00
3.180000e+04 1.568814e+05 8.031364e+01 1.012615e+00
3.190000e+04 2.112665e+05 1.202663e+02 1.008389e+00
3.200000e+04 1.576048e+05 8.508162e+01 1.011900e+00
3.210000e+04 1.337966e+05 6.949791e+01 1.014607e+00
3.220000e+04 1.169086e+05 5.653433e+01 1.018016e+00
3.230000e+04 1.038771e+05 5.971576e+01 1.017041e+00
3.240000e+04 1.432238e+05 6.501823e+01 1.015628e+00
3.250000e+04 1.597558e+05 7.815952e+01 1.012967e+00
3.260000e+04 1.541572e+05 7.825371e+01 1.012951e+00
3.270000e+04 8.953326e+04 5.123977e+01 1.019916e+00
3.280000e+04 1.788226e+05 9.371736e+01 1.010791e+00
3.290000e+04 1.235505e+05 6.756550e+01 1.015031e+00
3.300000e+04 2.051312e+05 1.029460e+02 1.009814e+00
3.310000e+04 1.532838e+05 7.797815e+01 1.012997e+00
3.320000e+04 1.983850e+05 1.085432e+02 1.009304e+00
3.330000e+04 1.316161e+05 7.804603e+01 1.012987e+00
3.340000e+04 1.214403e+05 6.930594e+01 1.014648e+00
3.350000e+04 1.462734e+05 7.378848e+01 1.013745e+00
3.360000e+04 2.133972e+05 1.235430e+02 1.008165e+00
3.370000e+04 1.111838e+05 6.600571e+01 1.015393e+00
3.380000e+04 1.965359e+05 1.031732e+02 1.009792e+00
3.390000e+04 1.878641e+05 1.010219e+02 1.010003e+00
3.400000e+04 2.021475e+05 1.098911e+02 1.009189e+00
3.410000e+04 1.230854e+05 6.510176e+01 1.015609e+00
3.420000e+04 1.277730e+05 7.471165e+01 1.013574e+00
3.430000e+04 1.900978e+05 1.070628e+02 1.009434e+00
3.440000e+04 1.613620e+05 8.677760e+01 1.011664e+00
3.450000e+04 1.534879e+05 8.888367e+01 1.011385e+00
3.460000e+04 1.668539e+05 8.887657e+01 1.011386e+00
3.470000e+04 1.958093e+05 1.021593e+02 1.009891e+00
3.480000e+04 1.935825e+05 8.742172e+01 1.011576e+00
3.490000e+04 1.790116e+05 9.830022e+01 1.010283e+00
3.500000e+04 1.798780e+05 9.359359e+01 1.010806e+00
3.510000e+04 1.565821e+05 7.901423e+01 1.012825e+00
3.520000e+04 1.711469e+05 8.700968e+01 1.011633e+00
3.530000e+04 1.393699e+05 7.036999e+01 1.014423e+00
3.540000e+04 1.818448e+05 9.719204e+01 1.010401e+00
3.550000e+04 2.038040e+05 1.057828e+02 1.009549e+00
3.560000e+04 1.331721e+05 7.208869e+01 1.014075e+00
3.570000e+04 1.503325e+05 9.148859e+01 1.011058e+00
3.580000e+04 1.412115e+05 7.670649e+01 1.013216e+00
3.590000e+04 1.851306e+05 8.562817e+01 1.011822e+00
3.600000e+04 1.657338e+05 9.321467e+01 1.010850e+00
3.610000e+04 1.985151e+05 1.106250e+02 1.009127e+00
3.620000e+04 1.511657e+05 7.825208e+01 1.012951e+00
3.630000e+04 1.872206e+05 1.026013e+02 1.009848e+00
3.640000e+04 2.040482e+05 1.009503e+02 1.010010e+00
3.650000e+04 1.697189e+05 1.038745e+02 1.009727e+00
3.660000e+04 1.444415e+05 7.504444e+01 1.013513e+00
3.670000e+04 1.207669e+05 7.063977e+01 1.014368e+00
3.680000e+04 1.682573e+05 8.950223e+01 1.011305e+00
3.690000e+04 1.762901e+05 9.587762e+01 1.010546e+00
3.700000e+04 1.417336e+05 7.679830e+01 1.013200e+00
3.710000e+04 1.062465e+05 6.240777e+01 1.016294e+00
3.720000e+04 1.516896e+05 7.883069e+01 1.012855e+00
3.730000e+04 1.322407e+05 6.403704e+01 1.015871e+00
3.740000e+04 1.238759e+05 6.755094e+01 1.015034e+00
3.750000e+04 1.332440e+05 6.712053e+01 1.015132e+00
3.760000e+04 1.590454e+05 8.307110e+01 1.012191e+00
3.770000e+04 1.347085e+05 7.154363e+01 1.014183e+00
3.780000e+04 1.762165e+05 9.813267e+01 1.010301e+00
3.790000e+04 2.187692e+05 1.185569e+02 1.008511e+00
3.800000e+04 1.356352e+05 7.153679e+01 1.014185e+00
3.810000e+04 1.837071e+05 1.192476e+02 1.008462e+00
3.820000e+04 1.470461e+05 7.443195e+01 1.013625e+00
3.830000e+04 1.290997e+05 7.172295e+01 1.014148e+00
3.840000e+04 1.196075e+05 6.378486e+01 1.015936e+00
3.850000e+04 1.663853e+05 8.590056e+01 1.011785e+00
3.860000e+04 1.282872e+05 6.689245e+01 1.015184e+00
3.870000e+04 1.188281e+05 6.435786e+01 1.015792e+00
3.880000e+04 1.623801e+05 8.726786e+01 1.011598e+00
3.890000e+04 1.299345e+05 7.552676e+01 1.013426e+00
3.900000e+04 1.370428e+05 6.590929e+01 1.015414e+00
3.910000e+04 1.699172e+05 9.617716e+01 1.010513e+00
3.920000e+04 1.316275e+05 7.626587e+01 1.013294e+00
3.930000e+04 7.411884e+04 4.135482e+01 1.024794e+00
3.940000e+04 1.553915e+05 9.190400e+01 1.011007e+00
3.950000e+04 1.411887e+05 6.786731e+01 1.014962e+00
3.960000e+04 1.404592e+05 6.825274e+01 1.014877e+00
3.970000e+04 1.709282e+05 9.813078e+01 1.010301e+00
3.980000e+04 1.475641e+05 8.589455e+01 1.011786e+00
3.990000e+04 1.084931e+05 5.400618e+01 1.018875e+00
