# iteration  l2_Plain_fixed  l2_Plain_adapt  l2_MFF_fixed  l2_MFF_adapt  l2_ST_MFF_fixed  l2_ST_MFF_adapt
7.600000e+03 1.031300e+00 8.858709e-01 1.040870e+00 1.057391e+00 1.035418e+00 2.332805e-01
7.700000e+03 1.027736e+00 8.850076e-01 1.042401e+00 1.056880e+00 1.034831e+00 2.309947e-01
7.800000e+03 1.027102e+00 8.844455e-01 1.042156e+00 1.056461e+00 1.037390e+00 2.206916e-01
7.900000e+03 1.029731e+00 8.848028e-01 1.041737e+00 1.055726e+00 1.037200e+00 2.193856e-01
8.000000e+03 1.028508e+00 8.843276e-01 1.047632e+00 1.055216e+00 1.036743e+00 2.103267e-01
8.100000e+03 1.030577e+00 8.840082e-01 1.039318e+00 1.053303e+00 1.038348e+00 2.124526e-01
8.200000e+03 1.030025e+00 8.827774e-01 1.043482e+00 1.058353e+00 1.038195e+00 2.074835e-01
8.300000e+03 1.028381e+00 8.816706e-01 1.038200e+00 1.053504e+00 1.036153e+00 1.955710e-01
8.400000e+03 1.026653e+00 8.819006e-01 1.042484e+00 1.053107e+00 1.037671e+00 1.886903e-01
8.500000e+03 1.029074e+00 8.807437e-01 1.040184e+00 1.052385e+00 1.039805e+00 2.024774e-01
8.600000e+03 1.026599e+00 8.805321e-01 1.046269e+00 1.050913e+00 1.038946e+00 1.893933e-01
8.700000e+03 1.027000e+00 8.800329e-01 1.044023e+00 1.052173e+00 1.037366e+00 1.887107e-01
8.800000e+03 1.028623e+00 8.795505e-01 1.045837e+00 1.051221e+00 1.037657e+00 1.838512e-01
8.900000e+03 1.024533e+00 8.794367e-01 1.040588e+00 1.051060e+00 1.036660e+00 1.767660e-01
9.000000e+03 1.025422e+00 8.782286e-01 1.037586e+00 1.049443e+00 1.036250e+00 1.718046e-01
9.100000e+03 1.029310e+00 8.769919e-01 1.042971e+00 1.048989e+00 1.037065e+00 1.707936e-01
9.200000e+03 1.025323e+00 8.767010e-01 1.046218e+00 1.048331e+00 1.034764e+00 1.697151e-01
9.300000e+03 1.026531e+00 8.761988e-01 1.039706e+00 1.048160e+00 1.036892e+00 1.632146e-01
9.400000e+03 1.023968e+00 8.753816e-01 1.040909e+00 1.047910e+00 1.038186e+00 1.534462e-01
9.500000e+03 1.025245e+00 8.745596e-01 1.044935e+00 1.046716e+00 1.035169e+00 1.474042e-01
9.600000e+03 1.025122e+00 8.743638e-01 1.042833e+00 1.047687e+00 1.037642e+00 1.528140e-01
9.700000e+03 1.027942e+00 8.728341e-01 1.048273e+00 1.046025e+00 1.036771e+00 1.481129e-01
9.800000e+03 1.025274e+00 8.723806e-01 1.041849e+00 1.046104e+00 1.036162e+00 1.468180e-01
9.900000e+03 1.024848e+00 8.719973e-01 1.039355e+00 1.045720e+00 1.036176e+00 1.448915e-01
1.000000e+04 1.023593e+00 8.696506e-01 1.043098e+00 1.045061e+00 1.036759e+00 1.378900e-01
1.010000e+04 1.031503e+00 8.694137e-01 1.041292e+00 1.044823e+00 1.036296e+00 1.309170e-01
1.020000e+04 1.023037e+00 8.684106e-01 1.043783e+00 1.043559e+00 1.038740e+00 1.281303e-01
1.030000e+04 1.024966e+00 8.678402e-01 1.040586e+00 1.044910e+00 1.036879e+00 1.270496e-01
1.040000e+04 1.024196e+00 8.671265e-01 1.042344e+00 1.043873e+00 1.035654e+00 1.195520e-01
1.050000e+04 1.027492e+00 8.659471e-01 1.040392e+00 1.042193e+00 1.036258e+00 1.182634e-01
1.060000e+04 1.022368e+00 8.654610e-01 1.043979e+00 1.042195e+00 1.036675e+00 1.277510e-01
1.070000e+04 1.025906e+00 8.647903e-01 1.039600e+00 1.042546e+00 1.036567e+00 1.201828e-01
1.080000e+04 1.025891e+00 8.636164e-01 1.042723e+00 1.042490e+00 1.038284e+00 1.149004e-01
1.090000e+04 1.023256e+00 8.624032e-01 1.042191e+00 1.043835e+00 1.036682e+00 1.120533e-01
1.100000e+04 1.027770e+00 8.621966e-01 1.038841e+00 1.041561e+00 1.035899e+00 1.271709e-01
1.110000e+04 1.023549e+00 8.617626e-01 1.043427e+00 1.040436e+00 1.036512e+00 1.152664e-01
1.120000e+04 1.022713e+00 8.612116e-01 1.043503e+00 1.040749e+00 1.036415e+00 1.076602e-01
1.130000e+04 1.023569e+00 8.605294e-01 1.047197e+00 1.040544e+00 1.035714e+00 1.017943e-01
1.140000e+04 1.022601e+00 8.594403e-01 1.035369e+00 1.040098e+00 1.037090e+00 1.169538e-01
1.150000e+04 1.023753e+00 8.588336e-01 1.041901e+00 1.038889e+00 1.035440e+00 1.053064e-01
1.160000e+04 1.023145e+00 8.580716e-01 1.043192e+00 1.039017e+00 1.036705e+00 9.975497e-02
