# iteration  lambda_u  lambda_ut  lambda_r
1.390000e+04 6.194110e+03 3.243801e+01 1.031981e+00
1.400000e+04 6.111819e+03 3.139640e+01 1.033073e+00
1.410000e+04 6.381057e+03 3.242641e+01 1.031987e+00
1.420000e+04 6.382995e+03 3.304451e+01 1.031373e+00
1.430000e+04 6.525595e+03 3.235416e+01 1.032057e+00
1.440000e+04 5.914997e+03 3.098820e+01 1.033527e+00
1.450000e+04 6.158218e+03 3.154929e+01 1.032907e+00
1.460000e+04 5.973472e+03 2.979380e+01 1.034909e+00
1.470000e+04 6.231029e+03 2.901570e+01 1.035866e+00
1.480000e+04 6.423831e+03 3.161929e+01 1.032825e+00
1.490000e+04 6.515467e+03 3.123388e+01 1.033239e+00
1.500000e+04 6.278586e+03 3.042846e+01 1.034151e+00
1.510000e+04 6.214610e+03 3.177105e+01 1.032670e+00
1.520000e+04 6.029353e+03 2.975041e+01 1.034960e+00
1.530000e+04 6.165138e+03 3.214119e+01 1.032285e+00
1.540000e+04 6.336053e+03 3.179026e+01 1.032646e+00
1.550000e+04 6.408137e+03 3.082670e+01 1.033694e+00
1.560000e+04 6.205489e+03 3.166497e+01 1.032782e+00
1.570000e+04 6.697531e+03 3.092484e+01 1.033576e+00
1.580000e+04 6.369010e+03 3.213881e+01 1.032282e+00
1.590000e+04 6.439958e+03 3.272978e+01 1.031681e+00
1.600000e+04 5.769816e+03 2.993393e+01 1.034747e+00
1.610000e+04 6.500380e+03 3.132140e+01 1.033144e+00
1.620000e+04 6.149644e+03 3.156343e+01 1.032892e+00
1.630000e+04 6.010486e+03 3.077237e+01 1.033766e+00
1.640000e+04 6.194005e+03 3.374730e+01 1.030708e+00
1.650000e+04 6.335714e+03 3.099880e+01 1.033503e+00
1.660000e+04 6.074287e+03 3.120648e+01 1.033281e+00
1.670000e+04 6.453179e+03 3.306195e+01 1.031354e+00
1.680000e+04 6.291430e+03 3.425156e+01 1.030242e+00
1.690000e+04 6.123116e+03 3.039970e+01 1.034189e+00
1.700000e+04 6.279102e+03 3.279631e+01 1.031620e+00
1.710000e+04 6.410806e+03 3.274535e+01 1.031667e+00
1.720000e+04 6.517604e+03 3.348858e+01 1.030943e+00
1.730000e+04 6.385771e+03 3.348885e+01 1.030946e+00
1.740000e+04 6.140043e+03 3.290435e+01 1.031517e+00
1.750000e+04 5.889958e+03 2.851032e+01 1.036532e+00
1.760000e+04 5.801220e+03 3.106420e+01 1.033446e+00
1.770000e+04 5.957616e+03 3.037955e+01 1.034217e+00
1.780000e+04 5.933162e+03 3.033527e+01 1.034269e+00
1.790000e+04 6.488023e+03 3.280656e+01 1.031604e+00
1.800000e+04 6.010322e+03 2.989747e+01 1.034783e+00
1.810000e+04 6.184178e+03 3.201695e+01 1.032413e+00
1.820000e+04 6.461474e+03 3.275214e+01 1.031659e+00
1.830000e+04 6.302837e+03 2.961791e+01 1.035113e+00
1.840000e+04 6.174651e+03 3.348195e+01 1.030958e+00
1.850000e+04 6.299466e+03 3.235335e+01 1.032064e+00
1.860000e+04 5.805328e+03 2.902618e+01 1.035866e+00
1.870000e+04 6.235027e+03 3.327868e+01 1.031151e+00
1.880000e+04 6.248441e+03 3.144725e+01 1.033015e+00
1.890000e+04 6.204772e+03 3.268016e+01 1.031737e+00
1.900000e+04 6.110859e+03 2.976089e+01 1.034945e+00
1.910000e+04 6.154627e+03 3.171609e+01 1.032730e+00
1.920000e+04 6.495468e+03 3.281593e+01 1.031595e+00
1.930000e+04 6.189578e+03 3.227873e+01 1.032143e+00
1.940000e+04 6.218346e+03 3.203479e+01 1.032393e+00
1.950000e+04 6.448058e+03 3.425986e+01 1.030231e+00
1.960000e+04 6.365012e+03 3.089016e+01 1.033624e+00
1.970000e+04 6.203338e+03 3.152616e+01 1.032931e+00
1.980000e+04 6.494434e+03 3.278759e+01 1.031623e+00
1.990000e+04 6.391890e+03 3.253779e+01 1.031875e+00
2.000000e+04 6.142142e+03 3.082194e+01 1.033706e+00
2.010000e+04 6.277514e+03 3.089190e+01 1.033624e+00
2.020000e+04 6.310352e+03 3.294297e+01 1.031474e+00
2.030000e+04 6.090631e+03 3.123277e+01 1.033252e+00
