case,method,budget,n_seeds,target_params,matched_within_tol,total_params_mean,total_params_std,best_l2_mean,best_l2_std,final_l2_mean,final_l2_std,wall_clock_train_sec_mean,wall_clock_train_sec_std,ms_per_100_epoch_mean,ms_per_100_epoch_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std,inference_time_ms_mean,inference_time_ms_std,n_collocation_mean,n_collocation_std,best_l2_min
case6,ClassicalSpectral,reference,1,,,4096.0,0.0,1.3111887164815314e-13,0.0,1.3111887164815314e-13,0.0,0.004056215286254883,0.0,405.6215286254883,0.0,0.879104,0.0,4.056215286254883,0.0,65536.0,0.0,1.3111887164815314e-13
case6,FourierPINN,matched,3,3096,True,3231.0,0.0,0.48178714378036847,0.09170236110551068,0.48580591265945,0.09511019549944873,6.183371384938558,0.2587193010526876,61.846083065998776,2.5877105526374042,263.51872,0.0,1.4678955078125,0.17426320081258978,10000.0,0.0,0.4057513314233944
case6,FourierPINN,rich,3,,,66177.0,0.0,0.8968007665930363,0.060512944635379276,0.8968509455433762,0.060479775236939946,17.158329725265503,0.06775562723002376,171.6176207768104,0.6776918106623665,330.5017173333333,7.908855468687634,3.045964241027832,0.2889769033453019,10000.0,0.0,0.819838741727352
case6,PINN,matched,3,3096,True,3101.0,0.0,1.0002378598515347,4.721723343565161e-05,1.0093075974082062,0.005106700949609845,6.916338284810384,0.10963610114774117,69.17721829176219,1.096580327542921,151.785984,0.0,0.9403069814046224,0.19473147840639987,10000.0,0.0,1.00020168032646
case6,PINN,rich,3,,,50049.0,0.0,1.0002175774171154,4.3032934629251824e-05,1.0189952752869313,0.012038892843773753,19.77289366722107,0.07282577615370589,197.76849037028475,0.7284034422254978,271.05408,0.0,1.3718207677205403,0.15028943830992708,10000.0,0.0,1.0001629274024677
case6,SIREN,matched,3,3096,True,3039.0,0.0,0.41450118510496825,0.3962160168109643,0.47410542790812976,0.38212336359759347,9.075647354125977,0.04160412308312498,90.77462846695316,0.4161244557223968,289.199872,0.0,1.8585920333862305,0.3712675319060376,10000.0,0.0,0.04632114146853638
case6,SIREN,rich,3,,,82689.0,0.0,0.998559467779064,0.008386007239516222,0.998559467779064,0.008386007239516222,25.917539834976196,0.21323539613423115,259.22724379852167,2.132780517445801,336.1558186666666,7.908855468687634,3.177316983540853,0.2648006595896004,10000.0,0.0,0.9873680555517331
case6,SPINN,matched,3,3096,True,3116.0,0.0,0.6235798167147416,0.14373616659727995,0.6442703203909974,0.13727883038501767,10.039645671844482,0.10703771488860918,100.41654002645011,1.0705912671395252,72.785664,0.0,1.870274543762207,0.15735967709467558,10000.0,0.0,0.47118970307710195
case6,SPINN,rich,3,,,91136.0,0.0,1.4458216899788692,0.060871299368024094,1.4458216899788692,0.060871299368024094,16.471863905588787,0.09208025194468897,164.7515893737626,0.9209867167902477,140.503296,0.0,3.370960553487142,0.1435853735848401,10000.0,0.0,1.388828961082144
case6,SVSNN,best,3,,,3096.0,0.0,0.00907870668731036,0.004383017897665254,0.00915994826981753,0.004268936210284435,13.415573279062906,0.23995913524551685,134.18256930448993,2.4000713667285214,118.77119999999998,1.4210854715202004e-14,16.027275721232098,0.332661239262669,10000.0,0.0,0.002922807932232778
