# iteration  l2_NN  l2_FF  l2_ST_FF
1.580000e+04 1.000049e+00 1.000074e+00 4.914168e-03
1.590000e+04 1.000959e+00 1.000273e+00 6.107738e-03
1.600000e+04 1.000013e+00 1.000056e+00 7.149611e-03
1.610000e+04 1.000079e+00 1.000248e+00 6.673078e-03
1.620000e+04 1.000206e+00 1.000010e+00 5.664758e-03
1.630000e+04 1.000015e+00 1.000051e+00 4.775651e-03
1.640000e+04 1.000629e+00 1.000000e+00 5.173313e-03
1.650000e+04 1.000589e+00 1.000004e+00 5.066634e-03
1.660000e+04 1.000492e+00 1.000072e+00 7.379621e-03
1.670000e+04 1.000862e+00 1.000009e+00 4.609752e-03
1.680000e+04 1.000310e+00 1.000042e+00 4.957629e-03
1.690000e+04 1.000222e+00 9.999997e-01 6.074891e-03
1.700000e+04 1.000191e+00 1.000030e+00 4.402786e-03
1.710000e+04 1.000066e+00 1.000135e+00 4.823185e-03
1.720000e+04 1.000191e+00 1.000011e+00 8.724926e-03
1.730000e+04 1.001573e+00 1.000008e+00 5.222333e-03
1.740000e+04 1.000015e+00 1.000000e+00 4.246772e-03
1.750000e+04 1.000010e+00 1.000108e+00 7.384274e-03
1.760000e+04 1.000267e+00 1.000060e+00 5.035186e-03
1.770000e+04 1.000483e+00 1.000107e+00 6.516254e-03
1.780000e+04 1.000317e+00 1.000034e+00 4.502112e-03
1.790000e+04 1.001803e+00 1.000010e+00 4.074296e-03
1.800000e+04 1.000013e+00 1.000033e+00 4.890739e-03
1.810000e+04 1.000002e+00 1.000011e+00 4.780097e-03
1.820000e+04 1.000899e+00 1.000075e+00 7.152793e-03
1.830000e+04 1.000014e+00 1.000042e+00 4.133750e-03
1.840000e+04 1.000511e+00 1.000049e+00 5.493766e-03
1.850000e+04 1.000032e+00 9.999998e-01 4.223243e-03
1.860000e+04 1.000195e+00 1.000159e+00 7.353563e-03
1.870000e+04 1.000149e+00 1.000011e+00 3.828614e-03
1.880000e+04 1.000056e+00 1.000000e+00 4.295269e-03
1.890000e+04 1.000026e+00 1.000000e+00 4.724742e-03
