# iteration  loss_bcs  loss_res  l2_error
8.700000e+03 4.544055e-07 1.699440e-03 9.820568e-04
8.800000e+03 3.744664e-07 1.738770e-03 1.151868e-03
8.900000e+03 1.108027e-08 1.495947e-03 3.023091e-04
9.000000e+03 1.486637e-06 1.615165e-03 1.417210e-03
9.100000e+03 5.341539e-08 1.427392e-03 4.226782e-04
9.200000e+03 8.535136e-07 1.477606e-03 1.653963e-03
9.300000e+03 7.650789e-07 1.928329e-03 1.174063e-03
9.400000e+03 1.320813e-08 1.303673e-03 8.047673e-05
9.500000e+03 1.344589e-06 1.440380e-03 2.782823e-03
9.600000e+03 8.289591e-09 1.244813e-03 7.739686e-05
9.700000e+03 1.029321e-07 1.249587e-03 2.935368e-04
9.800000e+03 1.045092e-08 1.192281e-03 3.624021e-05
